,HEALTHCLIQUE LTD,,,,,,,
,ARTICLES,Company,Price,Qty,Cost Price,Retail Price,Wholesale Price,Stock value
,21G Free needles ,Dele,,100,18,23.4,19.8,1800
,23G Free needles ,Dele,,100,18,23.4,19.8,1800
,7 KEYS HERBAL MIXTURE,,,2,1100,1430,1210,2200
,A DAY KIT TABLET,,,2,2200,2860,2420,4400
,ABF-3 CREAM,,,3,580,754,638,1740
,ABIDEC DROP,Sygen,,6,2331,3030.3,2564.1,13986
,ABONIKI BALM,,,3,850,1105,935,2550
,ACECLOFEN 10 TAB,,,3,0,0,0,0
,ACTIFED TABLETS,,,1,0,0,0,0
,ACYCOR PLUS,Reals,,5,720,936,792,3600
,AD-FLUCONAZOLE TABLET 150MG,,,10,0,0,0,0
,AEROLINE INHALER ,Embassy ,,1,3100,4030,3410,3100
,Afabeta Arteether 150mg/2mL,Elbe,,9,666.6666667,866.6666667,733.3333333,6000
,AFRAB  LORATADINE TABLET 10MG,Afrab,,1,0,0,0,0
,AFRAB IBUPROFEN SUSPENSION 100ML,Afrab,,10,720,936,792,7200
,AFRAB LORATADINE SYRUP,Afrab,,5,650,845,715,3250
,AFRABVITE DROP 15ML,Afrab,,5,680,884,748,3400
,Afriject Syringe 2mL,,,20,40,52,44,800
,Afriject Syringe 5mL,,,0,40,52,44,0
,Agary Plaster  2.5cm,,,3,700,910,770,2100
,Agary Plaster 5cm,,,4,1400,1820,1540,5600
,AJ WELLNESS PRIMOSA,Softhealth,,2,4600,5980,5060,9200
,AJ WELLNESS VITAL MAN,Softhealth,,1,5500,7150,6050,5500
,AJ WELLNESS VITAL WOMAN,Softhealth,,1,5500,7150,6050,5500
,ALABUKUN,,,10,300,390,330,3000
,ALDOCURE METHYLDOPA 250MG,,,1,0,0,0,0
,AMALAR,Elbe,,5,400,520,440,2000
,AMATEM SOFTGEL 80/480,Elbe,,10,2100,2730,2310,21000
,AMINO PEP FORTE LIQUID,,,2,3100,4030,3410,6200
,AMITRIPTYLINE 25MG x 10,Chez,,5,400,520,440,2000
,AMLODIPINE -10MG (MULTICHRIS),Multichris,,10,0,0,0,0
,AMLODIPINE 10MG BERLIN,,,10,400,520,440,4000
,AMLODIPINE- 10MG TEVA +NO,Teva,,5,0,0,0,0
,AMLODIPINE-10 MG  (POCCO),Pocco,,10,780,1014,858,7800
,AMLODIPINE-5MG  (POCCO),Pocco,,10,630,819,693,6300
,AMLODIPINE-5MG TEVA +NO,Teva,,5,0,0,0,0
,AMOKSIKLAV 1000MG,,,2,0,0,0,0
,AMOKSIKLAV 625MG,,,3,0,0,0,0
,AMOXICILLIN  500MG UNBRANDED,,,40,260,338,286,10400
,Amoxicillin 500mg Vitamox,Sagar,,0,360,468,396,0
,AMOXICILLIN SUSPENSION GSK,GSK,,1,3700,4810,4070,3700
,AMOXICILLIN SUSPENSION TUYIL,TUYIL ,,2,900,1170,990,1800
,AMOXIL 500mg GSK,GSK,,5,2300,2990,2530,11500
,AMPICILLIN 250MG,NAZA,,10,300,390,330,3000
,AMPICLOX 500mg GSK,GSK,,5,2300,2990,2530,11500
,AMPICLOX 500mg Unbranded ,Nelb,,20,380,494,418,7600
,Ampiclox 500mg VitaClox,Sagar,,10,360,468,396,3600
,AMPICLOX DROPS,,,1,0,0,0,0
,ANACIN TABLET,,144,2,14,18.2,15.4,28
,ANOROL,,,10,670,871,737,6700
,ANTALLERGE EYE DROPS,Drugfield ,,6,1600,2080,1760,9600
,ANUSOL SUPPOSITORIES,,,1,0,0,0,0
0,APETABON 200ML,,,2,0,0,0,0
,APETAMIN SYRUP 200ML,,,1,6800,8840,7480,6800
,AQUACEF CEFUROXIME 500MG,Aquatis,,3,0,0,0,0
,AQUACEF CEFUROXIME SUSPENSION,Aquatis,,3,0,0,0,0
,AQUACLAV  TABLETS 375MG,Aquatis,,1,2600,3380,2860,2600
,AQUACLAV 1G,Aquatis,,1,2900,3770,3190,2900
,AQUACLAV 625MG,Aquatis,,1,2500,3250,2750,2500
,AQUACLAV SUSPENSION  228.5MG,Aquatis,,3,0,0,0,0
,AQUAFIX ( CEFIXIME)SUSPENSION,Aquatis,,1,0,0,0,0
,AQUAFIX (CEFIXIME) 400MG TAB,Aquatis,,1,0,0,0,0
,ARBITEL 80MG TELMISATAN,,,2,0,0,0,0
,ARCHY VITAMIN C 100MG * 1000TABS (CHEWABLE)ASCOBITONE,Archy,,1,0,0,0,0
,ARCHY VITAMIN C 100MG* 1000TABS ASCOBITONE( WHITE),Archy,,1,0,0,0,0
,ARENAX PLUS FORTE(ARTEMETHER/LUMEFANTRINE),Swipha,,2,0,0,0,0
,ARENAX PLUS x 12(ARTEMETHER/LUMEFANTRINE),,,2,550,715,605,1100
,ARENAX PLUS x 18(ARTEMETHER/LUMEFANTRINE),,,2,750,975,825,1500
,ARISTOBET-N  DROPS,,,1,1900,2470,2090,1900
,ARTEQUICK,,,2,2800,3640,3080,5600
,ARTHOCARE  CAPSULES,,,1,6800,8840,7480,6800
